Mnemonic,Addr. Mode,Opcode,Orig Cycles,New Cycles,# Bytes,N,V,B,D,I,Z,C,MC Step,Done,Addr_Op,Din_Le,Rd_En,Dout_op,Dint1_Op,Dint2_Op,Dint3_Op,PC_Op,SP_Op,Alu1,Alu2,ALU_OP,A_Le,X_Le,Y_Le,Flag_Op
CLC,IMP,18,2,2,1,,,,,,,C,0,done,,,,,,,,,,,,,,,,ClearC
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
CLD,IMP,D8,2,2,1,,,,D,,,,0,done,,,,,,,,,,,,,,,,ClearD
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
CLI,IMP,58,2,2,1,,,,,I,,,0,done,,,,,,,,,,,,,,,,ClearI
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
CLV,IMP,B8,2,2,1,,V,,,,,,0,done,,,,,,,,,,,,,,,,ClearV
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
CMP,ABS,CD,4,5,3,N,,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,a_reg,din,sub,,,,nzc
CMP,"ABS,X",DD,4,5,3,N,,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_x,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,a_reg,din,sub,,,,nzc
CMP,"ABS,Y",D9,4,5,3,N,,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_y,,read,,,,,,,,,,,,,
