Mnemonic,Addr. Mode,Opcode,Orig Cycles,New Cycles,# Bytes,N,V,B,D,I,Z,C,MC Step,Done,Addr_Op,Din_Le,Rd_En,Dout_op,Dint1_Op,Dint2_Op,Dint3_Op,PC_Op,SP_Op,Alu1,Alu2,ALU_OP,A_Le,X_Le,Y_Le,Flag_Op
,,,,,,,,,,,,,2,done,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,
STA ,"ABS,X",9D,5,5,3,,,,,,,,0,,pc_p,en,read,,,,,inc,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,
,,,,,,,,,,,,,2,,split_x,,,a_reg,,,,,
,,,,,,,,,,,,,3,done,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,
S_IRQ,INTERNAL,43,0,0,0,,,,,,,,0,,v_irq1,,read,,,,,,
,,,,,,,,,,,,,1,,v_irq2,en,read,,,,,,
,,,,,,,,,,,,,2,,sp,en,,pch,din,,,,push
,,,,,,,,,,,,,3,,sp,,,pcl,,,,split,push
,,,,,,,,,,,,,4,,sp,,,p_reg,,,,,push
,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,SetI
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
S_NMI,INTERNAL,33,0,0,0,,,,,,,,0,,v_nmi1,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,v_nmi2,en,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,sp,en,,pch,din,,,,push,,,,,,,
,,,,,,,,,,,,,3,,sp,,,pcl,,,,split,push,,,,,,,
,,,,,,,,,,,,,4,,sp,,,p_reg,,,,,push,,,,,,,
,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,SetI
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
STX,ABS,8E,4,5,3,,,,,,,,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,,x_reg,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
STX,Z-PAGE,86,3,4,2,,,,,,,,0,,,en,,,,,,inc
,,,,,,,,,,,,,1,,din_z,,,x_reg,,,,
,,,,,,,,,,,,,2,done,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,
STX,"Z-PAGE,Y",96,4,4,2,,,,,,,,0,,,en,,,,,,inc
,,,,,,,,,,,,,1,,din_zy,,,x_reg,,,,
,,,,,,,,,,,,,2,done,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,
STY,ABS,8C,4,5,3,,,,,,,,0,,pc_p,en,read,,,,,inc
,,,,,,,,,,,,,1,,,en,,,din,,,inc
,,,,,,,,,,,,,2,,split,,,y_reg,,,,
,,,,,,,,,,,,,3,done,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,
STY,Z-PAGE,84,3,4,2,,,,,,,,0,,,en,,,,,,inc
,,,,,,,,,,,,,1,,din_z,,,y_reg,,,,
,,,,,,,,,,,,,2,done,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
STY,"Z-PAGE,X",94,4,4,2,,,,,,,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,,y_reg,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
TAX,IMP,AA,2,2,1,N,,,,,Z,,0,done,,,,,,,,,,a_reg,,pass1,,le,,nz
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
TAY,IMP,A8,2,2,1,N,,,,,Z,,0,done,,,,,,,,,,a_reg,,pass1,,,le,nz
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
TSX,IMP,BA,2,2,1,N,,,,,Z,,0,done,,,,,,,,,,,sp_reg,pass2,,le,,nz
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
TXA,IMP,8A,2,2,1,N,,,,,Z,,0,done,,,,,,,,,,x_reg,,pass1,le,,,nz
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
TXS,IMP,9A,2,2,1,,,,,,,,0,done,,,,,,,,,x_reg,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
TYA,IMP,98,2,2,1,N,,,,,Z,,0,done,,,,,,,,,,y_reg,,pass1,le,,,nz
,,,,,,,,,,,,,1,,,,
END,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,Total instructions,,154,
,,,,,,,,,,,,,,Total Done:,,154,
,,,,,,,,,,,,,,Remaining:,,0,
,,,,,,,,,,,,,,Done %:,,100,
,,,,,,,,,,,,,,Ave. Orig. Clocks,,3.83,
,,,,,,,,,,,,,,Ave. New Clocks,,4.74,
,,,,,,,,,,,,,,Max Orig. Clocks,,7,
,,,,,,,,,,,,,,Max New Clocks,,8,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
